"","rile_mrg","partyname"
"1166",-24.324,"Lietuvos Socialdemokratų Partija"
"1167",0.881,"Darbo Partija"
"1168",16.667,"Lietuvos Respublikos Liberalų Sąjūdis"
"1169",-1.829,"Liberalų ir Centro Sąjunga"
"1170",22.705,"Partija Tvarka ir Teisingumas"
"1171",-32.168,"Lietuvos Valstie�_ių ir Žaliųjų Sąjunga"
"1172",13.005,"Tévynès Sajunga - Lietuvos Krikš�_ionys Demokratai"
"1173",10.87,"Lenkų Rinkimų Akcijos ir Rusų Aljanso Koalicija Valdemaro Tomaševskio Blokas"
"1174",-2.985,"Koalicja Sojuszu Lewicy Demokratycznej i Unii Pracy"
"1175",8.745,"Platforma Obywatelska"
"1176",25.45,"Prawo i Sprawiedliwość"
"1177",20,"Kongres Nowej Prawicy"
"1178",-3.226,"Polskie Stronnictwo Ludowe"
"1179",1.579,"Partidul Democrat Liberal"
"1180",1.739,"Partidul Național Liberal"
"1181",5.935,"Partidul Social Democrat + Uniunea Națională pentru Progresul României + Partidul Conservator"
"1182",-8.208,"Partidul Mișcarea Populară"
"1183",-4.918,"Uniunea Democrată Maghiară din România"
"1184",-8.824,"Most-Híd"
"1185",-2.203,"Smer - Sociálna Demokracia"
"1186",17.989,"Kresťansko-demokratické Hnutie"
"1187",7.377,"Slovenská Demokratická a Kresťanská Únia - Demokratická Strana"
"1188",20.988,"Sloboda a Solidarita"
"1189",0.952,"NOVA + Kresťanskodemokratická Strana + Ob�_ianska Konzervatívna Strana"
"1190",-10.695,"Oby�_ajní Ľudia a Nezávislé Osobnosti"
"1191",-10.87,"Slovenská Národná Strana"
"1192",-3.812,"Strana Ma�_arskej Komunity - Magyar Közösség Pártja"
"1193",15.517,"Slovenska Demokratska Stranka"
"1194",-7.19,"Socialni Demokrati"
"1195",-7.692,"Verjamem"
"1196",17.442,"Zares"
"1197",44.681,"Nova Slovenija - Slovenska Ljudska Stranka"
"1198",-13.603,"Demokrati�_na Stranka Upokojencev Slovenije"
